customer_id,signup_date,region,contract_type,payment_method,internet_service,tenure_months,monthly_charges,total_charges,support_calls,churned,churn_reason
CUST-000001,2024-05-02,South,Month-to-month,Electronic check,DSL,7,38.37,268.59,1,0,
CUST-000002,2022-07-04,South,Month-to-month,Bank transfer,No internet,11,100.66,1107.26,2,0,
CUST-000003,2024-10-14,West,Month-to-month,Electronic check,Fiber optic,25,102.36,2559.0,3,1,Price too high
CUST-000004,2025-09-14,Midwest,Month-to-month,Credit card,DSL,32,60.23,1927.36,1,0,
CUST-000005,2023-11-07,Northeast,One year,Credit card,DSL,13,82.83,1076.79,2,0,
CUST-000006,2025-01-24,South,One year,Electronic check,No internet,37,65.4,2419.8,2,1,Moving / relocation
CUST-000007,2024-02-21,South,Month-to-month,Bank transfer,DSL,7,75.75,530.25,2,1,Competitor offered better deal
CUST-000008,2022-08-05,Midwest,Two year,Credit card,DSL,8,48.56,388.48,3,0,
CUST-000009,2023-11-12,South,One year,Bank transfer,DSL,15,85.56,1283.4,1,0,
CUST-000010,2025-03-02,West,Month-to-month,Bank transfer,Fiber optic,3,41.46,124.38,0,0,
CUST-000011,2025-11-04,Midwest,One year,Credit card,DSL,32,39.03,1248.96,2,1,Poor customer service
CUST-000012,2022-05-23,Northeast,Two year,Electronic check,DSL,22,67.42,1483.24,1,0,
CUST-000013,2024-06-09,South,Two year,Bank transfer,No internet,32,65.52,2096.64,0,0,
CUST-000014,2023-07-02,South,Two year,Electronic check,Fiber optic,38,76.49,2906.62,1,0,
CUST-000015,2022-09-15,Northeast,Month-to-month,Mailed check,DSL,33,56.95,1879.35,0,0,
CUST-000016,2022-01-31,Northeast,Two year,Credit card,Fiber optic,32,128.18,4101.76,0,1,Price too high
CUST-000017,2023-11-06,Northeast,Month-to-month,Bank transfer,DSL,37,73.8,2730.6,1,0,
CUST-000018,2025-11-25,Northeast,Month-to-month,Bank transfer,No internet,10,75.53,755.3,2,0,
CUST-000019,2025-12-11,South,Two year,Electronic check,Fiber optic,40,74.67,2986.8,0,0,
CUST-000020,2023-05-12,West,One year,Credit card,DSL,20,96.63,1932.6,3,0,
CUST-000021,2025-08-24,West,Month-to-month,Electronic check,DSL,10,84.3,843.0,0,0,
CUST-000022,2022-07-02,South,Month-to-month,Bank transfer,DSL,12,80.76,969.12,0,0,
CUST-000023,2024-11-10,South,One year,Electronic check,Fiber optic,14,88.72,1242.08,1,0,
CUST-000024,2025-03-31,South,Month-to-month,Bank transfer,No internet,26,39.1,1016.6,1,0,
CUST-000025,2023-11-20,Midwest,Month-to-month,Bank transfer,No internet,4,39.58,158.32,1,1,Competitor offered better deal
CUST-000026,2023-09-02,Midwest,Month-to-month,Mailed check,DSL,10,68.42,684.2,0,0,
CUST-000027,2023-04-04,South,Month-to-month,Bank transfer,Fiber optic,29,65.81,1908.49,3,0,
CUST-000028,2024-06-25,Midwest,Two year,Mailed check,DSL,35,84.4,2954.0,1,1,Poor customer service
CUST-000029,2024-09-24,West,Month-to-month,Bank transfer,Fiber optic,37,70.56,2610.72,1,1,Price too high
CUST-000030,2025-06-13,Midwest,One year,Bank transfer,DSL,10,84.45,844.5,3,1,Poor customer service
CUST-000031,2023-12-29,South,Month-to-month,Credit card,Fiber optic,4,47.06,188.24,3,0,
CUST-000032,2023-01-16,Midwest,Month-to-month,Electronic check,Fiber optic,14,69.86,978.04,0,0,
CUST-000033,2024-10-30,South,One year,Electronic check,Fiber optic,7,45.64,319.48,2,0,
CUST-000034,2024-02-26,South,One year,Electronic check,DSL,25,79.34,1983.5,1,0,
CUST-000035,2024-09-15,West,Two year,Electronic check,DSL,38,38.43,1460.34,0,0,
CUST-000036,2022-08-31,Midwest,One year,Bank transfer,DSL,5,78.37,391.85,2,1,Poor customer service
CUST-000037,2023-09-17,South,One year,Electronic check,Fiber optic,24,43.81,1051.44,1,0,
CUST-000038,2025-05-28,South,One year,Electronic check,Fiber optic,29,62.01,1798.29,3,0,
CUST-000039,2022-02-17,Northeast,Two year,Electronic check,Fiber optic,20,93.35,1867.0,2,0,
CUST-000040,2023-04-14,West,One year,Bank transfer,DSL,21,75.4,1583.4,2,0,
CUST-000041,2024-02-07,South,Month-to-month,Bank transfer,Fiber optic,12,41.4,496.8,0,0,
CUST-000042,2023-12-13,South,Month-to-month,Mailed check,DSL,45,56.53,2543.85,1,0,
CUST-000043,2024-04-09,Midwest,Month-to-month,Credit card,Fiber optic,18,43.36,780.48,0,0,
CUST-000044,2024-11-23,South,One year,Electronic check,No internet,26,40.76,1059.76,2,0,
CUST-000045,2024-06-11,South,Month-to-month,Bank transfer,Fiber optic,5,72.8,364.0,0,0,
CUST-000046,2025-08-13,Midwest,Two year,Electronic check,Fiber optic,43,83.87,3606.41,3,1,Poor customer service
CUST-000047,2024-07-02,South,Two year,Credit card,Fiber optic,23,80.72,1856.56,2,0,
CUST-000048,2023-05-24,Northeast,Month-to-month,Electronic check,Fiber optic,31,85.02,2635.62,1,0,
CUST-000049,2024-07-05,South,Two year,Credit card,Fiber optic,16,69.84,1117.44,0,0,
CUST-000050,2022-05-05,Northeast,Two year,Bank transfer,DSL,31,64.23,1991.13,2,0,
CUST-000051,2025-04-24,South,One year,Bank transfer,DSL,16,49.73,795.68,1,1,Poor customer service
CUST-000052,2024-02-05,West,Two year,Bank transfer,Fiber optic,15,60.9,913.5,1,0,
CUST-000053,2024-04-22,South,Two year,Mailed check,No internet,27,45.93,1240.11,1,1,Frequent service outages
CUST-000054,2022-01-20,West,One year,Electronic check,Fiber optic,21,53.49,1123.29,1,0,
CUST-000055,2022-03-08,West,Month-to-month,Credit card,DSL,21,72.13,1514.73,1,0,
CUST-000056,2023-07-28,West,Month-to-month,Credit card,Fiber optic,4,67.51,270.04,3,1,Frequent service outages
CUST-000057,2022-05-26,West,Two year,Electronic check,Fiber optic,36,150.0,5400.0,0,1,Frequent service outages
CUST-000058,2023-08-20,West,Month-to-month,Electronic check,DSL,12,45.57,546.84,4,1,Frequent service outages
CUST-000059,2025-07-19,Midwest,Month-to-month,Mailed check,Fiber optic,25,67.35,1683.75,0,1,Competitor offered better deal
CUST-000060,2023-11-12,West,Month-to-month,Credit card,Fiber optic,2,44.45,88.9,2,1,Competitor offered better deal
CUST-000061,2024-11-30,Midwest,Month-to-month,Bank transfer,DSL,6,61.92,371.52,2,1,Moving / relocation
CUST-000062,2023-08-20,West,Month-to-month,Bank transfer,DSL,1,62.74,62.74,1,1,Frequent service outages
CUST-000063,2023-09-21,South,Two year,Electronic check,No internet,27,91.87,2480.49,0,0,
CUST-000064,2024-12-14,Northeast,One year,Credit card,DSL,41,60.71,2489.11,2,1,Price too high
CUST-000065,2025-08-09,West,One year,Electronic check,Fiber optic,4,65.94,263.76,2,1,Competitor offered better deal
CUST-000066,2022-12-13,South,Month-to-month,Mailed check,DSL,3,61.09,183.27,2,1,Price too high
CUST-000067,2025-12-25,South,One year,Credit card,DSL,38,44.78,1701.64,5,0,
CUST-000068,2024-01-29,West,Month-to-month,Bank transfer,Fiber optic,26,56.9,1479.4,1,1,Price too high
CUST-000069,2022-12-21,West,Month-to-month,Bank transfer,Fiber optic,6,62.04,372.24,2,1,Poor customer service
CUST-000070,2023-04-20,West,Two year,Credit card,DSL,30,71.78,2153.4,0,0,
CUST-000071,2022-06-18,South,One year,Electronic check,DSL,12,83.84,1006.08,1,0,
CUST-000072,2024-06-26,Northeast,Month-to-month,Electronic check,Fiber optic,10,65.04,650.4,0,1,Price too high
CUST-000073,2022-06-01,South,Two year,Electronic check,DSL,18,64.67,1164.06,2,0,
CUST-000074,2023-09-09,South,Two year,Electronic check,Fiber optic,10,40.42,404.2,2,0,
CUST-000075,2022-02-10,South,Month-to-month,Bank transfer,Fiber optic,37,83.32,3082.84,1,0,
CUST-000076,2022-10-29,South,One year,Bank transfer,DSL,10,56.11,561.1,2,1,Moving / relocation
CUST-000077,2023-11-24,West,One year,Mailed check,Fiber optic,24,89.04,2136.96,1,0,
CUST-000078,2024-05-17,Midwest,Two year,Credit card,Fiber optic,17,106.83,1816.11,5,0,
CUST-000079,2024-10-17,Midwest,Month-to-month,Mailed check,DSL,41,66.01,2706.41,1,0,
CUST-000080,2022-12-28,Midwest,One year,Electronic check,Fiber optic,37,50.53,1869.61,1,1,Moving / relocation
